Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2,resistance_level_3
2010-07-09,88.66,88.69,88.36,88.61,0,91.35737995277282,89.0875,86.8176200472272,40.8247361277056,88.69,88.36,80.38,90.9,91.74,94.61
2010-07-11,88.72,89.14,88.57,89.08,0,91.1157497491441,88.998,86.88025025085591,46.86137149227369,89.14,88.57,80.38,90.9,91.74,94.61
2010-07-12,89.09,89.1,88.38,88.5,0,90.86453838819283,88.888,86.91146161180718,41.26676001666382,89.1,88.38,80.38,90.9,91.74,94.61
2010-07-13,88.5,89.1,88.02,88.97,0,90.58308407873616,88.799,87.01491592126385,46.808564452833764,89.1,88.02,80.38,90.9,91.74,94.61
2010-07-14,88.98,89.02,88.06,88.21,0,90.17319235276588,88.6635,87.15380764723412,40.20278860373116,89.02,88.06,80.38,90.9,91.74,94.61
2010-07-15,88.21,88.26,86.98,87.01,0,89.92025871785482,88.49,87.05974128214517,32.42247631052088,88.26,86.98,80.38,90.9,91.74,94.61
2010-07-16,87.01,87.35,86.25,86.57,0,89.84435964119167,88.326,86.80764035880831,30.120705369489855,87.35,86.25,80.38,90.9,91.74,94.61
2010-07-18,86.51,86.7,86.47,86.65,0,89.76790241100541,88.18350000000001,86.59909758899461,31.078761574029883,86.7,86.47,80.38,90.9,91.74,94.61
2010-07-19,86.66,87.21,86.54,87.05,0,89.65587250513586,88.0745,86.49312749486414,35.81700269539648,87.21,86.54,80.38,90.9,91.74,94.61
2010-07-20,87.06,87.56,86.73,87.11,0,89.47094672308447,87.96000000000001,86.44905327691555,36.521961157585764,87.56,86.73,80.38,90.9,91.74,94.61
2010-07-21,87.11,87.34,86.42,86.49,0,89.41807377006579,87.84049999999999,86.2629262299342,32.544170996362084,87.34,86.42,80.38,90.9,91.74,94.61
2010-07-22,86.5,87.22,86.33,86.82,0,89.35450312304492,87.7535,86.15249687695508,36.50798977020856,87.22,86.33,80.38,90.9,91.74,94.61
2010-07-23,86.83,87.49,86.82,87.39,0,89.3110146413358,87.7145,86.1179853586642,42.76415232705355,87.49,86.82,80.38,90.9,91.74,94.61
2010-07-25,87.48,87.71,87.41,87.65,0,89.28370703497046,87.6945,86.10529296502955,45.40663406267026,87.71,87.41,80.38,90.9,91.74,94.61
