Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1
2000-10-30,108.7,109.17,108.45,109.01,0,109.18664789914496,108.32450000000001,107.46235210085507,60.11249549147765,109.17,108.45,104.58
2000-10-31,109.0,109.31,108.73,108.87,0,109.16968229356628,108.32000000000001,107.47031770643373,57.87320171231329,109.31,108.73,104.58
2000-11-01,108.88,108.98,108.04,108.15,0,109.13372522318103,108.295,107.45627477681897,47.97511064432779,108.98,108.04,104.58
2000-11-02,108.13,108.46,107.98,108.17,0,109.13325026379258,108.304,107.47474973620743,48.239930757631655,108.46,107.98,104.58
2000-11-03,108.18,108.38,106.84,107.05,0,109.23943515449159,108.26599999999999,107.2925648455084,36.909415101597936,108.38,106.84,104.58
2000-11-05,107.28,107.32,107.09,107.27,0,109.2842961116913,108.24399999999999,107.20370388830867,39.895743539383986,107.32,107.09,104.58
2000-11-06,107.26,107.61,106.9,107.49,0,109.30487898812238,108.22550000000001,107.14612101187764,42.810958074063485,107.61,106.9,104.58
2000-11-07,107.5,107.51,106.95,107.2,0,109.35176206015741,108.1935,107.03523793984259,40.05316229534084,107.51,106.95,104.58
2000-11-08,107.18,107.86,107.16,107.32,0,109.37480925496982,108.15599999999999,106.93719074503016,41.725985426699864,107.86,107.16,104.58
2000-11-09,107.31,107.82,107.16,107.57,0,109.3743256602191,108.12900000000002,106.88367433978094,45.15942339384651,107.82,107.16,104.58
2000-11-10,107.59,108.01,107.54,108.0,0,109.37673037466759,108.1395,106.90226962533241,50.55558155684218,108.01,107.54,104.58
2000-11-12,108.01,108.08,107.93,108.0,0,109.34717234564923,108.117,106.88682765435078,50.555581556842185,108.08,107.93,104.58
2000-11-13,108.01,108.01,107.43,107.73,0,109.2446580838995,108.05850000000001,106.87234191610052,47.17523370180429,108.01,107.43,104.58
2000-11-14,107.72,108.3,107.67,108.2,0,109.1417071045591,108.022,106.90229289544091,53.0590961096882,108.3,107.67,104.58
2000-11-15,108.21,108.96,108.01,108.9,0,109.23230657591658,108.053,106.87369342408341,60.17410342588651,108.96,108.01,104.58
2000-11-16,108.9,109.13,108.71,108.84,0,109.32294409241321,108.09549999999999,106.86805590758676,59.34379939829175,109.13,108.71,104.58
2000-11-17,108.85,108.97,108.63,108.89,0,109.39324505898749,108.122,106.85075494101251,59.841092961967206,108.97,108.63,104.58
2000-11-19,108.89,109.12,108.88,109.05,0,109.48854196328921,108.157,106.82545803671078,61.46541234062779,109.12,108.88,104.58
2000-11-20,109.04,110.36,108.94,109.94,0,109.7422685009532,108.21699999999998,106.69173149904677,68.98112671715266,110.36,108.94,104.58
2000-11-21,109.96,110.46,109.78,110.09,0,110.00854697873747,108.287,106.56545302126254,70.04165747496874,110.46,109.78,104.58
2000-11-22,110.1,110.26,109.51,110.09,0,110.21120747512144,108.34100000000001,106.47079252487858,70.04165747496874,110.26,109.51,104.58
2000-11-23,110.1,110.82,110.07,110.77,0,110.57740514615989,108.436,106.29459485384012,74.60633103006575,110.82,110.07,104.58
2000-11-24,110.76,111.46,110.75,111.35,0,111.07896919030422,108.596,106.11303080969579,77.72401835836266,111.46,110.75,104.58
2000-11-26,111.44,111.49,111.21,111.29,0,111.48751165232392,108.752,106.01648834767607,76.67527222960908,111.49,111.21,104.58
2000-11-27,111.28,111.52,110.35,110.49,0,111.64235538515477,108.924,106.20564461484524,64.23067053851713,111.52,110.35,104.58
2000-11-28,110.48,110.84,110.09,110.16,0,111.72638092284059,109.06850000000001,106.41061907715944,59.91109041016381,110.84,110.09,104.58
