Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2
2012-07-09,79.635,79.764,79.463,79.485,0,80.45832385128047,79.63974999999999,78.82117614871952,47.886328132579195,79.764,79.463,76.651,76.152
2012-07-10,79.483,79.516,79.204,79.315,0,80.44503623516383,79.65090000000001,78.85676376483619,44.908123672091534,79.516,79.204,76.651,76.152
2012-07-11,79.313,79.941,79.126,79.738,0,80.42119513925213,79.6888,78.95640486074787,52.7779312101646,79.941,79.126,76.651,76.152
2012-07-12,79.737,79.761,79.169,79.314,0,80.35782483673123,79.71279999999999,79.06777516326875,45.72681780746137,79.761,79.169,76.651,76.152
2012-07-13,79.312,79.321,79.064,79.166,0,80.37809561801689,79.69205000000001,79.00600438198313,43.540183614057206,79.321,79.064,76.651,76.152
2012-07-15,79.264,79.28,79.054,79.08,0,80.304905819404,79.63065,78.956394180596,42.275122660306025,79.28,79.054,76.651,76.152
2012-07-16,79.079,79.121,78.679,78.895,0,80.20018242366295,79.55465000000001,78.90911757633707,39.60904079374113,79.121,78.679,76.651,76.152
2012-07-17,78.893,79.163,78.877,79.033,0,80.07084275744721,79.49024999999999,78.90965724255277,42.52102912135128,79.163,78.877,76.651,76.152
2012-07-18,79.034,79.104,78.464,78.566,0,80.14885004956113,79.44264999999999,78.73644995043884,36.16571233475526,79.104,78.464,76.651,76.152
2012-07-19,78.568,78.794,78.428,78.596,0,80.19849222079026,79.4015,78.60450777920974,36.81900674576238,78.794,78.428,76.651,76.152
2012-07-20,78.598,78.626,78.444,78.482,0,80.24886462442494,79.35659999999999,78.46433537557503,35.33895496799414,78.626,78.444,76.651,76.152
2012-07-22,78.447,78.526,78.137,78.157,0,80.3327125416129,79.29825000000001,78.26378745838711,31.456722760879416,78.526,78.137,76.651,76.152
2012-07-23,78.158,78.453,77.936,78.253,0,80.32517476637375,79.22165,78.11812523362624,33.77117081883398,78.453,77.936,76.651,76.152
2012-07-24,78.252,78.329,78.062,78.187,0,80.30248607391557,79.14235,77.98221392608441,32.94748381749558,78.329,78.062,76.651,76.152
2012-07-25,78.186,78.269,78.041,78.101,0,80.26975031001992,79.06015,77.85054968998007,31.857143367786918,78.269,78.041,76.651,76.152
2012-07-26,78.102,78.345,78.007,78.222,0,80.19595139621019,78.98195,77.7679486037898,35.1108868536523,78.345,78.007,76.651,76.152
2012-07-27,78.221,78.67,78.067,78.461,0,80.08369363992131,78.9139,77.74410636007869,41.09390629171899,78.67,78.067,76.651,76.152
2012-07-29,78.437,78.533,78.348,78.39,0,79.9261745065375,78.83630000000001,77.74642549346251,39.916447836066546,78.533,78.348,76.651,76.152
2012-07-30,78.388,78.412,78.096,78.167,0,79.8220865222279,78.76219999999999,77.70231347777208,36.38967459990836,78.412,78.096,76.651,76.152
2012-07-31,78.165,78.296,77.904,78.007,0,79.70943029533011,78.68075,77.6520697046699,34.06413961685307,78.296,77.904,76.651,76.152
2012-08-01,78.009,78.531,77.987,78.439,0,79.59259054473425,78.62845,77.66430945526575,44.39641445720563,78.531,77.987,76.651,76.152
